"";"education";"ocupation";"area";"age group";"recomendation";"firma";"score";"detractor";"neutral";"promoter";"total"
"20";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";9;"Arnika";"Promoter";0;0;1;1
"21";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"mniej niż 30";10;"Arnika";"Promoter";0;0;1;1
"22";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"23";"Średnie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"powyżej 60";7;"Arnika";"Neutral";0;1;0;1
"24";"Średnie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";9;"Arnika";"Promoter";0;0;1;1
"25";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";3;"Arnika";"Detractor";1;0;0;1
"26";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"27";"Średnie techniczne";"Pracownik techniczny";"mniej niż 25 ha";"51 - 60";8;"Arnika";"Neutral";0;1;0;1
"28";"Średnie ogólne";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";10;"Arnika";"Promoter";0;0;1;1
"29";"Średnie ogólne";"Pracownik techniczny";"mniej niż 25 ha";"51 - 60";8;"Arnika";"Neutral";0;1;0;1
"30";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"mniej niż 30";10;"Arnika";"Promoter";0;0;1;1
"31";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"powyżej 60";9;"Arnika";"Promoter";0;0;1;1
"32";"Wyższe rolnicze";"Właściciel";"mniej niż 25 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"33";"Wyższe";"Główny agronom";"więcej niż 250 ha";"51 - 60";3;"Arnika";"Detractor";1;0;0;1
"34";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"35";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"36";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";7;"Arnika";"Neutral";0;1;0;1
"37";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";7;"Arnika";"Neutral";0;1;0;1
"38";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"39";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"51 - 60";5;"Arnika";"Detractor";1;0;0;1
"40";"Średnie techniczne";"Agronom ekspert";"25.01 - 50 ha";"51 - 60";1;"Arnika";"Detractor";1;0;0;1
"41";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";4;"Arnika";"Detractor";1;0;0;1
"42";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"43";"Średnie techniczne";"Agronom ekspert";"100.01 - 250 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"44";"Średnie techniczne";"Agronom ekspert";"25.01 - 50 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"45";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"46";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"powyżej 60";9;"Arnika";"Promoter";0;0;1;1
"47";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"51 - 60";10;"Arnika";"Promoter";0;0;1;1
"48";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"49";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";5;"Arnika";"Detractor";1;0;0;1
"50";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"51";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"52";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";8;"Arnika";"Neutral";0;1;0;1
"53";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"54";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"31 - 40";6;"Arnika";"Detractor";1;0;0;1
"55";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"56";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";9;"Arnika";"Promoter";0;0;1;1
"57";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"41 - 50";10;"Arnika";"Promoter";0;0;1;1
"58";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"59";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"31 - 40";3;"Arnika";"Detractor";1;0;0;1
"60";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"51 - 60";4;"Arnika";"Detractor";1;0;0;1
"61";"Wyższe rolnicze";"Właściciel";"mniej niż 25 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"62";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"powyżej 60";10;"Arnika";"Promoter";0;0;1;1
"63";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";4;"Arnika";"Detractor";1;0;0;1
"64";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"65";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"66";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";4;"Arnika";"Detractor";1;0;0;1
"67";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"68";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"mniej niż 30";7;"Arnika";"Neutral";0;1;0;1
"69";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";6;"Arnika";"Detractor";1;0;0;1
"70";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";9;"Arnika";"Promoter";0;0;1;1
"71";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"72";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";5;"Arnika";"Detractor";1;0;0;1
"73";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";9;"Arnika";"Promoter";0;0;1;1
"74";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"mniej niż 30";8;"Arnika";"Neutral";0;1;0;1
"75";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";9;"Arnika";"Promoter";0;0;1;1
"76";"Średnie techniczne";"Właściciel";"50.01 - 100 ha";"41 - 50";4;"Arnika";"Detractor";1;0;0;1
"77";"Średnie ogólne";"Główny agronom";"mniej niż 25 ha";"31 - 40";3;"Arnika";"Detractor";1;0;0;1
"78";"Średnie ogólne";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";7;"Arnika";"Neutral";0;1;0;1
"80";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"51 - 60";10;"Arnika";"Promoter";0;0;1;1
"81";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";5;"Arnika";"Detractor";1;0;0;1
"82";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"41 - 50";8;"Arnika";"Neutral";0;1;0;1
"83";"Wyższe rolnicze";"Pracownik techniczny";"25.01 - 50 ha";"mniej niż 30";0;"Arnika";"Detractor";1;0;0;1
"84";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";1;"Arnika";"Detractor";1;0;0;1
"85";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";3;"Arnika";"Detractor";1;0;0;1
"86";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"mniej niż 30";10;"Arnika";"Promoter";0;0;1;1
"87";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";2;"Arnika";"Detractor";1;0;0;1
"88";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"51 - 60";10;"Arnika";"Promoter";0;0;1;1
"89";"Średnie techniczne";"Główny agronom";"50.01 - 100 ha";"powyżej 60";10;"Arnika";"Promoter";0;0;1;1
"90";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";5;"Arnika";"Detractor";1;0;0;1
"91";"Wyższe rolnicze";"Właściciel";"więcej niż 250 ha";"51 - 60";4;"Arnika";"Detractor";1;0;0;1
"92";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";5;"Arnika";"Detractor";1;0;0;1
"93";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"31 - 40";5;"Arnika";"Detractor";1;0;0;1
"94";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";5;"Arnika";"Detractor";1;0;0;1
"95";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"41 - 50";7;"Arnika";"Neutral";0;1;0;1
"96";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"97";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"98";"Średnie ogólne";"Główny agronom";"50.01 - 100 ha";"powyżej 60";3;"Arnika";"Detractor";1;0;0;1
"99";"Wyższe";"Pracownik techniczny";"25.01 - 50 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"100";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"powyżej 60";10;"Arnika";"Promoter";0;0;1;1
"101";"Średnie techniczne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";8;"Arnika";"Neutral";0;1;0;1
"102";"Średnie ogólne";"Główny agronom";"50.01 - 100 ha";"mniej niż 30";2;"Arnika";"Detractor";1;0;0;1
"103";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"104";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";5;"Arnika";"Detractor";1;0;0;1
"105";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powyżej 60";6;"Arnika";"Detractor";1;0;0;1
"106";"Wyższe";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"107";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";2;"Arnika";"Detractor";1;0;0;1
"108";"Średnie ogólne";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";0;"Arnika";"Detractor";1;0;0;1
"109";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"51 - 60";9;"Arnika";"Promoter";0;0;1;1
"110";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";4;"Arnika";"Detractor";1;0;0;1
"111";"Średnie techniczne";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"112";"Wyższe rolnicze";"Agronom ekspert";"25.01 - 50 ha";"powyżej 60";3;"Arnika";"Detractor";1;0;0;1
"113";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"mniej niż 30";1;"Arnika";"Detractor";1;0;0;1
"114";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"41 - 50";0;"Arnika";"Detractor";1;0;0;1
"115";"Inne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";5;"Arnika";"Detractor";1;0;0;1
"116";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";5;"Arnika";"Detractor";1;0;0;1
"117";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"powyżej 60";0;"Arnika";"Detractor";1;0;0;1
"118";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";0;"Arnika";"Detractor";1;0;0;1
"119";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";9;"Arnika";"Promoter";0;0;1;1
"120";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"121";"Średnie techniczne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";5;"Arnika";"Detractor";1;0;0;1
"122";"Wyższe";"Właściciel";"więcej niż 250 ha";"mniej niż 30";3;"Arnika";"Detractor";1;0;0;1
"123";"Wyższe";"Właściciel";"więcej niż 250 ha";"powyżej 60";5;"Arnika";"Detractor";1;0;0;1
"124";"Wyższe";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";4;"Arnika";"Detractor";1;0;0;1
"126";"Wyższe";"Główny agronom";"więcej niż 250 ha";"powyżej 60";1;"Arnika";"Detractor";1;0;0;1
"127";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"51 - 60";3;"Arnika";"Detractor";1;0;0;1
"128";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";0;"Arnika";"Detractor";1;0;0;1
"129";"Wyższe rolnicze";"Główny agronom";"50.01 - 100 ha";"powyżej 60";3;"Arnika";"Detractor";1;0;0;1
"130";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";0;"Arnika";"Detractor";1;0;0;1
"131";"Średnie techniczne";"Główny agronom";"więcej niż 250 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"132";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"powyżej 60";9;"Arnika";"Promoter";0;0;1;1
"133";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";1;"Arnika";"Detractor";1;0;0;1
"134";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";3;"Arnika";"Detractor";1;0;0;1
"135";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";5;"Arnika";"Detractor";1;0;0;1
"136";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"138";"Wyższe rolnicze";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"139";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";7;"Arnika";"Neutral";0;1;0;1
"140";"Wyższe";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";2;"Arnika";"Detractor";1;0;0;1
"142";"Wyższe rolnicze";"Główny agronom";"100.01 - 250 ha";"41 - 50";4;"Arnika";"Detractor";1;0;0;1
"143";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";0;"Arnika";"Detractor";1;0;0;1
"144";"Średnie techniczne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";0;"Arnika";"Detractor";1;0;0;1
"145";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"31 - 40";10;"Arnika";"Promoter";0;0;1;1
"146";"Wyższe";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";1;"Arnika";"Detractor";1;0;0;1
"147";"Wyższe rolnicze";"Inna";"więcej niż 250 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"148";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";9;"Arnika";"Promoter";0;0;1;1
"149";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";3;"Arnika";"Detractor";1;0;0;1
"150";"Wyższe rolnicze";"Główny agronom";"100.01 - 250 ha";"powyżej 60";2;"Arnika";"Detractor";1;0;0;1
"151";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"powyżej 60";8;"Arnika";"Neutral";0;1;0;1
"152";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"31 - 40";1;"Arnika";"Detractor";1;0;0;1
"153";"Średnie techniczne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";4;"Arnika";"Detractor";1;0;0;1
"154";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"41 - 50";5;"Arnika";"Detractor";1;0;0;1
"155";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";7;"Arnika";"Neutral";0;1;0;1
"156";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";7;"Arnika";"Neutral";0;1;0;1
"157";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";7;"Arnika";"Neutral";0;1;0;1
"158";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"41 - 50";5;"Arnika";"Detractor";1;0;0;1
"159";"Średnie techniczne";"Właściciel";"25.01 - 50 ha";"41 - 50";1;"Arnika";"Detractor";1;0;0;1
"160";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"powyżej 60";2;"Arnika";"Detractor";1;0;0;1
"161";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powyżej 60";8;"Arnika";"Neutral";0;1;0;1
"162";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"51 - 60";10;"Arnika";"Promoter";0;0;1;1
"163";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";1;"Arnika";"Detractor";1;0;0;1
"164";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"powyżej 60";6;"Arnika";"Detractor";1;0;0;1
"165";"Wyższe rolnicze";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";1;"Arnika";"Detractor";1;0;0;1
"166";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";7;"Arnika";"Neutral";0;1;0;1
"167";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";10;"Arnika";"Promoter";0;0;1;1
"168";"Wyższe";"Agronom ekspert";"mniej niż 25 ha";"41 - 50";3;"Arnika";"Detractor";1;0;0;1
"169";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"41 - 50";8;"Arnika";"Neutral";0;1;0;1
"170";"Wyższe";"Agronom ekspert";"50.01 - 100 ha";"powyżej 60";3;"Arnika";"Detractor";1;0;0;1
"171";"Średnie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";8;"Arnika";"Neutral";0;1;0;1
"172";"Wyższe";"Główny agronom";"100.01 - 250 ha";"mniej niż 30";8;"Arnika";"Neutral";0;1;0;1
"174";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"powyżej 60";3;"Arnika";"Detractor";1;0;0;1
"175";"Wyższe rolnicze";"Właściciel";"25.01 - 50 ha";"powyżej 60";9;"Arnika";"Promoter";0;0;1;1
"176";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";4;"Arnika";"Detractor";1;0;0;1
"177";"Wyższe";"Główny agronom";"100.01 - 250 ha";"powyżej 60";9;"Arnika";"Promoter";0;0;1;1
"178";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"41 - 50";3;"Arnika";"Detractor";1;0;0;1
"179";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"41 - 50";10;"Arnika";"Promoter";0;0;1;1
"180";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"powyżej 60";9;"Arnika";"Promoter";0;0;1;1
"181";"Średnie techniczne";"Agronom ekspert";"mniej niż 25 ha";"powyżej 60";8;"Arnika";"Neutral";0;1;0;1
"182";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"51 - 60";1;"Arnika";"Detractor";1;0;0;1
"183";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";2;"Arnika";"Detractor";1;0;0;1
"184";"Wyższe rolnicze";"Agronom ekspert";"więcej niż 250 ha";"mniej niż 30";6;"Arnika";"Detractor";1;0;0;1
"185";"Wyższe";"Główny agronom";"więcej niż 250 ha";"31 - 40";2;"Arnika";"Detractor";1;0;0;1
"186";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"mniej niż 30";8;"Arnika";"Neutral";0;1;0;1
"187";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"powyżej 60";3;"Arnika";"Detractor";1;0;0;1
"188";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"51 - 60";3;"Arnika";"Detractor";1;0;0;1
"189";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"31 - 40";5;"Arnika";"Detractor";1;0;0;1
"191";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"31 - 40";3;"Arnika";"Detractor";1;0;0;1
"192";"Wyższe";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";2;"Arnika";"Detractor";1;0;0;1
"193";"Wyższe rolnicze";"Właściciel";"więcej niż 250 ha";"powyżej 60";1;"Arnika";"Detractor";1;0;0;1
"194";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"51 - 60";7;"Arnika";"Neutral";0;1;0;1
"195";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"mniej niż 30";1;"Arnika";"Detractor";1;0;0;1
"196";"Średnie techniczne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";0;"Arnika";"Detractor";1;0;0;1
"197";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"51 - 60";5;"Babka";"Detractor";1;0;0;1
"198";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";5;"Babka";"Detractor";1;0;0;1
"199";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"mniej niż 30";5;"Babka";"Detractor";1;0;0;1
"200";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";4;"Babka";"Detractor";1;0;0;1
"201";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"31 - 40";9;"Babka";"Promoter";0;0;1;1
"202";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"mniej niż 30";0;"Babka";"Detractor";1;0;0;1
"203";"Wyższe";"Główny agronom";"100.01 - 250 ha";"41 - 50";7;"Babka";"Neutral";0;1;0;1
"204";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"41 - 50";7;"Babka";"Neutral";0;1;0;1
"205";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"powyżej 60";5;"Babka";"Detractor";1;0;0;1
"206";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"31 - 40";10;"Babka";"Promoter";0;0;1;1
"207";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";9;"Babka";"Promoter";0;0;1;1
"208";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"41 - 50";6;"Babka";"Detractor";1;0;0;1
"209";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"41 - 50";7;"Babka";"Neutral";0;1;0;1
"210";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"mniej niż 30";8;"Babka";"Neutral";0;1;0;1
"211";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"31 - 40";8;"Babka";"Neutral";0;1;0;1
"212";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"31 - 40";5;"Babka";"Detractor";1;0;0;1
"213";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"31 - 40";8;"Babka";"Neutral";0;1;0;1
"214";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"51 - 60";3;"Babka";"Detractor";1;0;0;1
"215";"Średnie techniczne";"Właściciel";"50.01 - 100 ha";"powyżej 60";8;"Babka";"Neutral";0;1;0;1
"216";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";6;"Babka";"Detractor";1;0;0;1
"217";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"mniej niż 30";7;"Babka";"Neutral";0;1;0;1
"218";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"41 - 50";6;"Babka";"Detractor";1;0;0;1
"219";"Średnie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"powyżej 60";5;"Babka";"Detractor";1;0;0;1
"220";"Średnie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";10;"Babka";"Promoter";0;0;1;1
"221";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";4;"Babka";"Detractor";1;0;0;1
"222";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"41 - 50";9;"Babka";"Promoter";0;0;1;1
"223";"Średnie techniczne";"Pracownik techniczny";"mniej niż 25 ha";"51 - 60";6;"Babka";"Detractor";1;0;0;1
